ID провайдера;Название провайдера;Логотип;Об учебном заведении;Программы обучения;Адрес;Пояснение к адресу;Телефон 1;Пояснение 1;Телефон 2;Пояснение 2;Телефон 3;Пояснение 3;Телефон 4;Пояснение 4;Телефон 5;Пояснение 5;Телефон 6;Пояснение 6;Телефон 7;Пояснение 7;Телефон 8;Пояснение 8;Телефон 9;Пояснение 9;Телефон 10;Пояснение 10;Телефон 11;Пояснение 11;Телефон 12;Пояснение 12;Телефон 13;Пояснение 13;Телефон 14;Пояснение 14;Телефон 15;Пояснение 15
105925;SkillFactory;https://www.ucheba.ru/pix/logo_cache/105925.upto100x100.png;<p>Онлайн-школа SkillFactory специализируется на обучении Python, Data Science, Machine Learning, разработке и управлению продуктами. С 2016 года SkillFactory разработала и запустила 25 курсов и специализаций, обучение по которым прошли уже более 4000 студентов, и стала лидером на рынке онлайн-образования в сегменте Data Science. SkillFactory сотрудничает с индустриальными компаниям-лидерами, среди которых Ростелеком, NVIDIA, Яндекс, Рамблер, Сбербанк, Альфа-Банк.</p>;736153|740550|735828|736657|736653|736154|736155|736658|735914|736656|736156|736633|736652|736650|736651|736654|736659|736655;Москва, Цветной б-р, д. 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102981;Level One;https://www.ucheba.ru/pix/logo_cache/102981.upto100x100.png;<p>Короткие насыщенные курсы об искусстве, музыке, архитектуре и философии, которые научат разбираться в прекрасном и получать от этого кайф.</p>;737251|737254|737262|737259|737250|737263|737258|737252|737255|737253|737261|737257;Москва, Старопименовский пер., д. 4, стр. 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13978;Русская Школа Управления;https://www.ucheba.ru/pix/branding/13978/logo.upto100x100.png;"<p>Русская Школа Управления (РШУ) - федеральный учебный центр повышения квалификации. Школа учит людей с 2002 года и разбирается в бизнес-образовании. РШУ состоит в Российской ассоциации бизнес-образования (РАБО) и Association of MBAs (AMBA), входит в топ-5 бизнес-школ России по результатам рейтинга аналитического центра журнала ""Эксперт"". Школа удостоена большой золотой медали ""Бизнес-элита"" от Всероссийского социально-экономического проекта ""Элита нации"", несколько раз становилась лауреатом программы ""Эффективное бизнес-образование"" в номинации ""Лучшая федеральная компания в сфере кратко- и среднесрочного бизнес-образования"" и ""Лучшая программа бизнес-образования"".</p>";719352|719456|719501|719455|737684|737599|718477|718478|718704|719452|719457|719446|719596;Москва, Сельскохозяйственная ул., д. 17, корп. 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104620;Advance, Центр образовательных технологий Николая Ягодкина;https://www.ucheba.ru/pix/logo_cache/104620.upto100x100.png;<p>Advance — образовательный центр нового поколения. 10 лет мы занимаемся разработкой и применением на практике инновационных методов обучения иностранным языкам и технологий развития интеллекта и памяти для взрослых и детей. За все время существования курсы Advance прошли тысячи пользователей по всей России и за рубежом.</p>;739902|739900|739901|739899|739894|736384|739895;Северо-Западный федеральный округ, Санкт-Петербург, Таврическая ул., д. 2;;7 812 363-43-53;;7 800 700-53-42;;;;;;;;;;;;;;;;;;;;;;;;;;;
69412;Центр дополнительного образования, повышения квалификации и переподготовки Московского государственного университета пищевых производств;https://www.ucheba.ru/pix/branding/69412/logo.upto100x100.png;<p>Центр предлагает программы профессиональной переподготовки, повышения квалификации и дополнительного образования в сфере пищевой промышленности, ресторанной индустрии, здорового питания. Центр является структурным подразделением профильного вуза - Московского государственного университета пищевых производств.</p>;744316|744313|746144|744315|744314|744320|744309|745875|744318|744317|744312|744326|744311|744310|744308|744324|744323|744325|744321|744319;Москва, ул. Врубеля, д. 12;;7 499 750-11-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104129;Онлайн-школа английского по Скайпу «Инглекс»;https://www.ucheba.ru/pix/logo_cache/104129.upto100x100.png;<p>Онлайн-школа «Инглекс» — современный сервис персонального обучения английскому языку. Помогаем нашим ученикам повышать уровень знаний и получать удовольствие от каждого урока.</p>;738708|738662|738664|738663|738665|738661|738705|738699|738666|738695|738703|738726;Москва, Кутузовский пр-т, д. 9, корп. 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10594;Институт практической психологии психоанализа;https://www.ucheba.ru/pix/logo_cache/10594.upto100x100.png;<p>Институт практической психологии и психоанализа один из старейших частных ВУЗов России. Основанный в 1991 году известным практическим психологом, кандидатом психологических наук Спиркиной Е. А. сегодня ИППиП является лидером среди ВУЗов по количеству преподаваемых в нем практических дисциплин. Педагогический состав Института включает не только известных ученых, ведущих научных сотрудников психологического факультета МГУ им. М. В. Ломоносова и Института Психологии РАН, но и опытных специалистов-практиков в области психологического консультирования и психотерапии. В ИППиП осуществляется обучение по программам профессиональной переподготовки психологов, медицинских работников и студентов с гуманитарным образованием, а также проводятся курсы повышения квалификации, тренинги, семинары и мастер-классы, открытые мероприятия для всех желающих.</p>;701831|738496|707011|713254;Москва, ул. Ярославская, д. 13;офис 229;7 495 646-11-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1320;Сетевая Академия Ланит;https://www.ucheba.ru/pix/logo_cache/1320.upto100x100.png;"<p>""Сетевая Академия ЛАНИТ"" - один из крупнейших российских учебных центров в области информационных технологий. С момента основания в 1995 году Учебный центр обучил более 750 000 специалистов в различных областях IT-индустрии. Все классы ""Сетевой Академии ЛАНИТ"" оснащены современным компьютерным и проекционным оборудованием в соответствии со стандартными требованиями компаний-производителей программного и аппаратного обеспечения.</p>";745291|745292|745344|745345|745337|745022|745023|745024|745028|745025|745287|745026|745027|745288|745322|745295|745320|745323|745321|745032|745346|745324|745325|745336|745326|745033|745335|745348|745286|744706;Москва, ул. Доброслободская, д. 5;;7 495 967-66-70;;7 495 967-66-95;;;;;;;;;;;;;;;;;;;;;;;;;;;
103659;Институт профессионального образования;https://www.ucheba.ru/pix/logo_cache/103659.upto100x100.png;<p>Курсы повышения квалификации и профессиональной переподготовки в Институте профессионального образования - формат обучения, который позволит дистанционно получить новые знания и навыки в выбранном направлении, а также расширит возможности для трудоустройства и профессионального применения. Профессорско-преподавательский состав института имеет большой опыт работы в сфере образования, консультирования и руководства на крупных российских предприятиях. По окончании каждого уровня обучения и успешном прохождении итоговой аттестации выдается диплом о профессиональной переподготовке или удостоверение о повышении квалификации.</p>;711569|711572|711562|711573|711575|711556|711557|711576|711558|711555|711525|711511|738049|738058|738065|738050|738063|738061|738052|738060|738059|738062|738067|738053|738068|719931|738066|719932|738064|719930;Москва, Дербеневская наб., д. 11;кабинет приемной комиссии № 602В;7 495 120-79-01;;7 800 555-12-94;;;;;;;;;;;;;;;;;;;;;;;;;;;
105725;Университет мышления и умственных способностей;https://www.ucheba.ru/pix/logo_cache/105725.upto100x100.png;"<p>Университет мышления и умственных способностей предлагает курсы: ""Ментальная арифметика"", ""Скоростное чтение"", ""Мнемоника"", ""Сторителлинг"", ""Каллиграфия"".</p>";729843|729855|737031|737032|739269;Москва, ул. Бутлерова, д. 17б;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
