ID программы;Форма обучения;Проходной балл бюджет;Проходной балл платное;Мест бюджет;Мест платное;Стоимость;Стоимость, за год;Когда;Срок обучения;График занятий
745292;Очная;;;;;8 800 р.;;по мере набора;2 дня, 16 ак. ч;-
711562;Заочная;;;;;138 000 р.;;20 авг, 20 авг, 4 сен, 21 сен, 5 окт, 20 окт, 5 ноя, 20 ноя, 4 дек, 21 дек;18 месяцев, 1536 ак. ч;от 20 до 40 часов в неделю
735681;Вечерняя;;;;;64 000 р.;;24 авг, 24 авг, 31 авг, 7 сен, 14 сен, 21 сен, 28 сен;16 дней, 80 ак. ч;понедельник с 18:00 до 22:00
745812;Онлайн;;;;;5 000 р.;;в любое время;5 недель;По вашему выбору
746144;Онлайн курс на образовательной платформе МГУПП;;;;;12 000 р.;;25 авг, 4 сен;36 ак. ч;-
737031;Дистанционная;;;;;6 500 р.;;в любое время;4 недели, 108 ак. ч;-
707011;Дистанционная;;;;;29 880 р.;;25 июн, 5 ноя;5 месяцев, 40 ак. ч;вебинары каждый четверг с 25 июня по 05 ноября 2020 года с 19:00 до 20:30
739901;Дистанционная;;;;;5 900 р.;;в любое время;14 ак. ч;-
740053;Дистанционная;;;;;8 500 р., 10 000 р.;;в любое время;5 недель, 256 ак. ч;свободный
740053;Дистанционная;;;;;12 800 р., 15 000 р.;;в любое время;10 недель, 512 ак. ч;свободный
744411;Дистанционная;;;;;990 р.;;в любое время;2 ак. ч;-
738664;Русскоязычные преподаватели;;;;;580 р.;;в любое время;1 ак. ч;-
738664;Носители английского языка;;;;;1 700 р.;;в любое время;1 ак. ч;-
734974;Очная;;;;;120 000 р.;;21 сен;9 месяцев, 504 ак. ч;3 раза в неделю с 19:00 до 22:00
700414;Вечерняя;;;;;26 500 р.;;14 сен;1 месяц, 40 ак. ч;3 раза в неделю по будним дням с 18:30 до 21:40
719501;Дистанционная;;;;;38 900 р.;;в любое время;40 ак. ч;9:00-16:15
719501;Онлайн-трансляция;;;;;36 900 р.;;7 сен, 7 сен, 12 окт, 9 ноя, 7 дек;5 дней, 40 ак. ч;5 дней онлайн-трансляции c 09.00 до 16.15 (по московскому времени)
719501;Очная;;;;;55 500 р.;;7 сен, 7 сен, 12 окт, 9 ноя, 7 дек;5 дней, 40 ак. ч;5 дней очного обучения c 09.00 до 16.15
735869;Вечерняя;;;;;64 000 р.;;24 авг, 24 авг, 31 авг, 7 сен, 14 сен, 21 сен, 28 сен;4 месяца, 85 ак. ч;понедельник с 18:00 до 22:00 очно или онлайн
737259;Дистанционная;;;;;1 500 р.;;в любое время;2 ак. ч;-
742845;Дистанционная;;;;;200 р.;;по мере набора;1 день;-
737205;Дистанционная;;;;;730 р.;;в любое время;1 ак. ч;30 уроков по 50 минут
744315;Дистанционная;;;;;7 800 р.;;27 авг, 31 авг;18 ак. ч;-
737032;Дистанционная;;;;;6 500 р.;;в любое время;4 недели, 108 ак. ч;в любое удобное время
736657;Дистанционная;;;;;120 000 р.;;2 сен;6 месяцев;-
705917;Дистанционная;;;;;29 990 р.;;24 авг;4 дня, 52 ак. ч;-
705917;Очная;;;;;29 990 р.;;24 авг;4 дня, 52 ак. ч;-
713254;Дистанционная;;;;;43 200 р.;;20 окт;10 месяцев, 144 ак. ч;группа А - пн 18:30 - 21:45, группа В - сб 11:00 - 14:45
713254;Очная;;;;;54 000 р.;;окт;10 месяцев, 144 ак. ч;группа А - пн 18:30 - 21:45, группа В - сб 11:00 - 14:45
688053/1;Очно-заочная;-;;-;;;120 000 р.;1 сен;54 месяца;
745344;Очная;;;;;24 750 р.;;по мере набора;5 дней, 40 ак. ч;-
745344;Дистанционная;;;;;24 750 р.;;по мере набора;5 дней, 40 ак. ч;-
711573;Заочная;;;;;138 000 р.;;20 авг, 20 авг, 4 сен, 21 сен, 5 окт, 20 окт, 5 ноя, 20 ноя, 4 дек, 21 дек;18 месяцев, 1536 ак. ч;от 20 до 40 часов в неделю
738663;Дистанционная;;;;;580 р.;;в любое время;1 ак. ч;-
739899;Дистанционная;;;;;7 900 р.;;в любое время;29 ак. ч;-
695675;Онлайн;;;;;21 000 р.;;15 сен;3 недели, 40 ак. ч;вебинары 3-4 раза в неделю по рабочим дням (в дневное время)
734973;Очная;;;;;123 360 р.;;28 сен;8 месяцев, 252 ак. ч;2 раза в неделю с 18:30 до 20:45
